S.No.,HSCode,Commodity,2020-2021,%Share,2021-2022,%Share,%Growth
1,1012100,PURE-BRED BREEDING HORSES,1.24,0.0003,1.01,0.0002,-18.37
2,1012910,HORSES FOR POLO,0.32,0.0001,,,
3,1012990,OTHER HORSES,0.95,0.0002,1.78,0.0003,87.65
4,1019090,"MULES,HINNIES OTHR THN LIVESTOCK",0,0,0,0,-92.31
5,1022110,BULLS FOR PURE BRED BREEDING,1.97,0.0005,,,
6,1039100,"LIVE SWINE,OTHER THAN PURE BRED-BREEDING WEIGHING LESS THAN 50 KG",0.03,0,0.33,0.0001,"1,152.45"
7,1051100,FOWLS OF SPCS GALLUS DOMES WT<= 185 G,2.89,0.0007,3.74,0.0006,29.25
8,1051300,DUCKS WT<= 185 G,,,0,0,
9,1061100,MAMMALS OF THE ORDER PRIMATES,,,0,0,
10,1061300,CAMELS AND OTHER CAMELIDS (CAMELIDAE),0.02,0,,,
11,1061400,RABBITS AND HARES,,,,,
12,1061900,OTHER MAMMALS,2.25,0.0006,2.19,0.0004,-2.9
13,1062000,REPTILES (INCLUDING SNAKES AND TURTLES),,,,,
14,1063200,"PSITTACIFORMES (INCLDNG PARROTS,PARAKEETS,MACAWS AND COCKATOOS)",,,,,
15,1063900,OTHER BIRDS,0.02,0,0.02,0,-8.44
16,1064910,OTHER INSECTS; PURELINE STOCK,0,0,0,0,-50
17,1064990,OTHER INSECTS EXCL PURELINE STOCK,0,0,0,0,71.43
18,1069000,OTHER LIVE ANIMALS,0.72,0.0002,1.36,0.0002,89.29
19,2031900,"OTHER MEAT OF SWINE,FRESH OR CHILLED",0.22,0.0001,0.4,0.0001,83.31
20,2032100,"CARCASSES AND HLF-CARCASSES OF SWINE,FROZEN",0.2,0.0001,0.15,0,-23.79
21,2032200,"HAMS,SHLDR AND CUT OF SWINE,FRZN,WTH BONE IN",0.37,0.0001,0.47,0.0001,27.11
22,2032900,"OTHER MEAT OF SWINE, FROZEN",0.72,0.0002,2.01,0.0003,180.63
23,2043000,"CARCASSES AND HALF-CARCASSES OF LAMB,FROZEN",,,0.03,0,
24,2044200,"OTHER CUTS OF SHEEP WITH BONE IN, FROZEN",0.1,0,0.6,0.0001,473.4
25,2044300,"BONELESS MEAT OF SHEEP, FROZEN",0.02,0,0.02,0,8.08
26,2071200,"MEAT/EDBL OFAL OF FOWLSOF THE SPCS GALS DOMESTICUS NOT CUT IN PIECES,FROZEN",0.06,0,0.09,0,50.64
27,2071400,"CUTS AND OFAL OF FOWLS OF THE SPECIS GALS DOMSTCUS, FRZN",0.02,0,,,
28,2072500,"MEATAND EDIBLE OFALS OF TURKEYS WHOLE,FRZN",,,0.05,0,
29,2072700,CUTS AND OFFAL OF TURKEYS FROZEN,,,0.03,0,
30,2074200,"DUCKS; NOT CUT IN PIECES, FROZEN",0.07,0,0.24,0,269.85
31,2074500,"DUCKS; OTHER, FROZEN",0,0,0.01,0,484.21
32,2081000,MEAT EDBL OFL OFRABT/HARES FRSH CHLD/FRZN,,,,,
33,2091000,PIG FAT,,,,,
34,2099000,OTHER FAT,,,0,0,
35,3011100,FRESHWATER ORNAMENTAL FISH,0.12,0,0.18,0,46.45
36,3011900,OTHER ORNAMENTAL FISH,1.42,0.0004,3.09,0.0005,118.25
37,3019100,"TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS CLARKI AGUABONITA GILAE APACHE AND CHRYGASTR",0.01,0,0.01,0,0.96
38,3019900,OTHER LIVE FISH,4.82,0.0012,0.59,0.0001,-87.68
39,3021100,TROUT FRESH OR CHILLED,0.04,0,,,
40,3021400,ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO) FRESH OR CHILLED,1.19,0.0003,2.29,0.0004,92.02
41,3022100,HALIBUT FRESH OF CHILLED,0,0,0,0,100
42,3023200,YELLOWFIN TUNAS FRESH OR CHILLED,0,0,,,
43,3025100,COD FRESH OR CHILLED,0,0,0,0,3.13
44,3025200,HADDOCK FRESH OR CHILLED,0,0,0,0,-5.88
45,3027100,TILAPIAS FRESH OR CHILLED,0.35,0.0001,0.25,0,-28.53
46,3027200,CATFISH FRESH OR CHILLED,10.75,0.0027,14.38,0.0023,33.75
47,3027400,EELS FRESH OR CHILLED,0,0,0.01,0,41.67
48,3027900,OTHER FISH INCL NILE PERCH AND SNAKEHEADS FRESH OR CHILLED,,,0.5,0.0001,
49,3028400,SEABASS FRESH OR CHILLED,,,,,
50,3028910,HILSA ( TENUALOSA ILISHA) FRESH OR CHILLED,17.91,0.0045,17.37,0.0028,-3
51,3028930,POMFRET FRESH OR CHILLED,0.13,0,0.01,0,-91.09
52,3028990,OTHER,19.4,0.0049,9.6,0.0016,-50.52
53,3031300,ATLANTIC SALMON AND DANUBE SALMON FROZEN,0.11,0,0.22,0,98.65
54,3031900,OTHER SALMONIDE FROZEN EXCL OF HEADING 030391 TO 030399,0,0,,,
55,3032300,TILAPIAS FROZEN,0.09,0,0.01,0,-88.24
56,3032400,CATFISH FROZEN,,,0.36,0.0001,
57,3032500,CARP FROZEN,0.71,0.0002,0.14,0,-80.64
58,3032600,EELS FROZEN,0,0,0,0,8.33
59,3032900,OTHER FISH INCL NILE PERCH AND SNAKEHEADS FROZEN,0.05,0,0.03,0,-50.95
60,3033100,HALIBUT FROZEN,,,0,0,
61,3033300,SOLE FROZEN,,,0.12,0,
62,3034200,YELLOWFIN TUNAS FROZEN,,,0.33,0.0001,
63,3034300,"SKIPJACK TUNA( STRIPE-BELLIED BONITO), (KATSUWONUSPELAMIS)",0.03,0,0.34,0.0001,"1,024.41"
64,3034400,BIGEYE TUNAS FROZEN,,,0,0,
